year,artist,title,track_id
2000,MANDY MOORE,Candy,2YhE6xeWN0R9RVwEOG9lR1
2000,RICKY MARTIN,Private Emotion,1rjHJSGgt10GAtgLrDtHTM
2000,BRIAN McKNIGHT,Stay Or Let It Go,6OCkJHVoGoWOMymzjzdOHX
2000,MONTGOMERY GENTRY,Daddy Wont Sell The Farm,2Wt173KM9i97KSB52qCuqj
2000,CELINE DION,Thats The Way It Is,5s4catxeZsaWFnOrvrXZHf
2000,GUY,Dancin,7K8Ew4j9qpkqEFlTdMdoqC
2000,WILL SMITH,Freakin It,6Kqfv9iCW7B7cdq6uujZqf
2000,JENNIFER LOPEZ,Waiting For Tonight,5yaCquc7koPqtgj7v0lwHX
2000,CLINT BLACK,When I Said I Do,6NBaOUmCVpNAaqBDFiJkCn
2000,JESSICA SIMPSON,I Wanna Love You Forever,5gZEhPrN1VLqTG1nIAXeNK
2000,AMBER,Sexual,4jCWcK6PhbnzOCAFJEztUm
